group,test,score
Rf_lag,10,5.6255
Rf_lag,10,1.4409
Rf_lag,10,2.7514
Rf_lag,10,3.3733
Rf_lag,10,4.2867
Rf_lag,10,3.0542
Rf_lag,10,5.9459
Rf_lag,10,4.3063
Rf_lag,10,4.951
Rf_lag,10,4.436
Rf_lag,2,2.7799
Rf_lag,2,2.9455
Rf_lag,2,3.6032
Rf_lag,2,4.3894
Rf_lag,2,2.7096
Rf_lag,2,4.1313
Rf_lag,2,6.6501
Rf_lag,2,5.7777
Rf_lag,2,3.6799
Rf_lag,2,3.6479
Rf_lag,6,2.9655
Rf_lag,6,3.0363
Rf_lag,6,3.2455
Rf_lag,6,3.3848
Rf_lag,6,5.0119
Rf_lag,6,5.4392
Rf_lag,6,5.2982
Rf_lag,6,3.6036
Rf_lag,6,4.1805
Rf_lag,6,5.864
Rf_nomal,10,3.7307
Rf_nomal,10,4.7653
Rf_nomal,10,3.7874
Rf_nomal,10,3.7546
Rf_nomal,10,4.7512
Rf_nomal,10,3.6798
Rf_nomal,10,7.4058
Rf_nomal,10,4.6685
Rf_nomal,10,6.4088
Rf_nomal,10,4.9182
Rf_nomal,2,4.2822
Rf_nomal,2,3.9752
Rf_nomal,2,2.9113
Rf_nomal,2,3.8787
Rf_nomal,2,3.6646
Rf_nomal,2,3.2437
Rf_nomal,2,6.7909
Rf_nomal,2,7.0268
Rf_nomal,2,3.7915
Rf_nomal,2,4.7496
Rf_nomal,6,3.6377
Rf_nomal,6,2.8453
Rf_nomal,6,2.4467
Rf_nomal,6,3.3288
Rf_nomal,6,6.2725
Rf_nomal,6,4.4571
Rf_nomal,6,6.1535
Rf_nomal,6,4.9129
Rf_nomal,6,5.641
Rf_nomal,6,5.3504
Xgb_lag,10,4.1226
Xgb_lag,10,1.9164
Xgb_lag,10,2.8074
Xgb_lag,10,3.9129
Xgb_lag,10,4.8202
Xgb_lag,10,3.78
Xgb_lag,10,7.5489
Xgb_lag,10,4.8377
Xgb_lag,10,5.3934
Xgb_lag,10,4.3195
Xgb_lag,2,4.831
Xgb_lag,2,4.002
Xgb_lag,2,3.3202
Xgb_lag,2,4.3052
Xgb_lag,2,3.0702
Xgb_lag,2,3.4743
Xgb_lag,2,6.3215
Xgb_lag,2,6.9672
Xgb_lag,2,3.3356
Xgb_lag,2,4.8178
Xgb_lag,6,3.7643
Xgb_lag,6,2.7543
Xgb_lag,6,3.3669
Xgb_lag,6,3.9831
Xgb_lag,6,7.2387
Xgb_lag,6,4.694
Xgb_lag,6,5.0587
Xgb_lag,6,4.1518
Xgb_lag,6,8.1461
Xgb_lag,6,5.9167
Xgb_nomal,10,3.8247
Xgb_nomal,10,4.9022
Xgb_nomal,10,3.9436
Xgb_nomal,10,4.0202
Xgb_nomal,10,4.9915
Xgb_nomal,10,4.0523
Xgb_nomal,10,7.5825
Xgb_nomal,10,4.8331
Xgb_nomal,10,6.5958
Xgb_nomal,10,4.7729
Xgb_nomal,2,4.4193
Xgb_nomal,2,4.0052
Xgb_nomal,2,2.9182
Xgb_nomal,2,4.0003
Xgb_nomal,2,3.7508
Xgb_nomal,2,3.6539
Xgb_nomal,2,6.5362
Xgb_nomal,2,7.3836
Xgb_nomal,2,4.1576
Xgb_nomal,2,4.806
Xgb_nomal,6,4.2957
Xgb_nomal,6,2.8766
Xgb_nomal,6,2.9195
Xgb_nomal,6,3.093
Xgb_nomal,6,6.2846
Xgb_nomal,6,4.3775
Xgb_nomal,6,6.4473
Xgb_nomal,6,5.4082
Xgb_nomal,6,5.7674
Xgb_nomal,6,5.5535
Lgb_lag,10,3.2334
Lgb_lag,10,3.5362
Lgb_lag,10,2.944
Lgb_lag,10,3.9212
Lgb_lag,10,4.9308
Lgb_lag,10,3.9943
Lgb_lag,10,6.2299
Lgb_lag,10,5.166
Lgb_lag,10,4.9753
Lgb_lag,10,3.8206
Lgb_lag,2,4.6171
Lgb_lag,2,3.7225
Lgb_lag,2,3.0038
Lgb_lag,2,4.3614
Lgb_lag,2,3.5452
Lgb_lag,2,3.3229
Lgb_lag,2,5.7427
Lgb_lag,2,6.5059
Lgb_lag,2,4.9458
Lgb_lag,2,4.8375
Lgb_lag,6,2.6748
Lgb_lag,6,2.8135
Lgb_lag,6,3.445
Lgb_lag,6,3.7217
Lgb_lag,6,5.7922
Lgb_lag,6,4.656
Lgb_lag,6,7.1293
Lgb_lag,6,4.5086
Lgb_lag,6,4.9019
Lgb_lag,6,4.8358
