method,test,score
RandomForest_lag,10,5.6255
RandomForest_lag,10,1.4409
RandomForest_lag,10,2.7514
RandomForest_lag,10,3.3733
RandomForest_lag,10,4.2867
RandomForest_lag,10,3.0542
RandomForest_lag,10,5.9459
RandomForest_lag,10,4.3063
RandomForest_lag,10,4.951
RandomForest_lag,10,4.436
RandomForest_lag,2,2.7799
RandomForest_lag,2,2.9455
RandomForest_lag,2,3.6032
RandomForest_lag,2,4.3894
RandomForest_lag,2,2.7096
RandomForest_lag,2,4.1313
RandomForest_lag,2,6.6501
RandomForest_lag,2,5.7777
RandomForest_lag,2,3.6799
RandomForest_lag,2,3.6479
RandomForest_lag,6,2.9655
RandomForest_lag,6,3.0363
RandomForest_lag,6,3.2455
RandomForest_lag,6,3.3848
RandomForest_lag,6,5.0119
RandomForest_lag,6,5.4392
RandomForest_lag,6,5.2982
RandomForest_lag,6,3.6036
RandomForest_lag,6,4.1805
RandomForest_lag,6,5.864
RandomForest_normal,10,3.7307
RandomForest_normal,10,4.7653
RandomForest_normal,10,3.7874
RandomForest_normal,10,3.7546
RandomForest_normal,10,4.7512
RandomForest_normal,10,3.6798
RandomForest_normal,10,7.4058
RandomForest_normal,10,4.6685
RandomForest_normal,10,6.4088
RandomForest_normal,10,4.9182
RandomForest_normal,2,4.2822
RandomForest_normal,2,3.9752
RandomForest_normal,2,2.9113
RandomForest_normal,2,3.8787
RandomForest_normal,2,3.6646
RandomForest_normal,2,3.2437
RandomForest_normal,2,6.7909
RandomForest_normal,2,7.0268
RandomForest_normal,2,3.7915
RandomForest_normal,2,4.7496
RandomForest_normal,6,3.6377
RandomForest_normal,6,2.8453
RandomForest_normal,6,2.4467
RandomForest_normal,6,3.3288
RandomForest_normal,6,6.2725
RandomForest_normal,6,4.4571
RandomForest_normal,6,6.1535
RandomForest_normal,6,4.9129
RandomForest_normal,6,5.641
RandomForest_normal,6,5.3504
XGBoost_lag,10,4.1226
XGBoost_lag,10,1.9164
XGBoost_lag,10,2.8074
XGBoost_lag,10,3.9129
XGBoost_lag,10,4.8202
XGBoost_lag,10,3.78
XGBoost_lag,10,7.5489
XGBoost_lag,10,4.8377
XGBoost_lag,10,5.3934
XGBoost_lag,10,4.3195
XGBoost_lag,2,4.831
XGBoost_lag,2,4.002
XGBoost_lag,2,3.3202
XGBoost_lag,2,4.3052
XGBoost_lag,2,3.0702
XGBoost_lag,2,3.4743
XGBoost_lag,2,6.3215
XGBoost_lag,2,6.9672
XGBoost_lag,2,3.3356
XGBoost_lag,2,4.8178
XGBoost_lag,6,3.7643
XGBoost_lag,6,2.7543
XGBoost_lag,6,3.3669
XGBoost_lag,6,3.9831
XGBoost_lag,6,7.2387
XGBoost_lag,6,4.694
XGBoost_lag,6,5.0587
XGBoost_lag,6,4.1518
XGBoost_lag,6,8.1461
XGBoost_lag,6,5.9167
XGBoost_normal,10,3.8247
XGBoost_normal,10,4.9022
XGBoost_normal,10,3.9436
XGBoost_normal,10,4.0202
XGBoost_normal,10,4.9915
XGBoost_normal,10,4.0523
XGBoost_normal,10,7.5825
XGBoost_normal,10,4.8331
XGBoost_normal,10,6.5958
XGBoost_normal,10,4.7729
XGBoost_normal,2,4.4193
XGBoost_normal,2,4.0052
XGBoost_normal,2,2.9182
XGBoost_normal,2,4.0003
XGBoost_normal,2,3.7508
XGBoost_normal,2,3.6539
XGBoost_normal,2,6.5362
XGBoost_normal,2,7.3836
XGBoost_normal,2,4.1576
XGBoost_normal,2,4.806
XGBoost_normal,6,4.2957
XGBoost_normal,6,2.8766
XGBoost_normal,6,2.9195
XGBoost_normal,6,3.093
XGBoost_normal,6,6.2846
XGBoost_normal,6,4.3775
XGBoost_normal,6,6.4473
XGBoost_normal,6,5.4082
XGBoost_normal,6,5.7674
XGBoost_normal,6,5.5535
LightGBM_lag,10,3.2334
LightGBM_lag,10,3.5362
LightGBM_lag,10,2.944
LightGBM_lag,10,3.9212
LightGBM_lag,10,4.9308
LightGBM_lag,10,3.9943
LightGBM_lag,10,6.2299
LightGBM_lag,10,5.166
LightGBM_lag,10,4.9753
LightGBM_lag,10,3.8206
LightGBM_lag,2,4.6171
LightGBM_lag,2,3.7225
LightGBM_lag,2,3.0038
LightGBM_lag,2,4.3614
LightGBM_lag,2,3.5452
LightGBM_lag,2,3.3229
LightGBM_lag,2,5.7427
LightGBM_lag,2,6.5059
LightGBM_lag,2,4.9458
LightGBM_lag,2,4.8375
LightGBM_lag,6,2.6748
LightGBM_lag,6,2.8135
LightGBM_lag,6,3.445
LightGBM_lag,6,3.7217
LightGBM_lag,6,5.7922
LightGBM_lag,6,4.656
LightGBM_lag,6,7.1293
LightGBM_lag,6,4.5086
LightGBM_lag,6,4.9019
LightGBM_lag,6,4.8358
LightGBM_normal,10,3.8833
LightGBM_normal,10,4.7594
LightGBM_normal,10,3.9915
LightGBM_normal,10,4.0619
LightGBM_normal,10,5.0403
LightGBM_normal,10,3.9209
LightGBM_normal,10,6.9327
LightGBM_normal,10,4.7241
LightGBM_normal,10,6.6278
LightGBM_normal,10,4.9411
LightGBM_normal,2,4.2544
LightGBM_normal,2,4.1257
LightGBM_normal,2,2.9414
LightGBM_normal,2,4.0231
LightGBM_normal,2,3.7387
LightGBM_normal,2,3.3289
LightGBM_normal,2,6.922
LightGBM_normal,2,6.5107
LightGBM_normal,2,3.6251
LightGBM_normal,2,4.7916
LightGBM_normal,6,4.2324
LightGBM_normal,6,2.8499
LightGBM_normal,6,3.2446
LightGBM_normal,6,3.3146
LightGBM_normal,6,6.3496
LightGBM_normal,6,3.7479
LightGBM_normal,6,5.6022
LightGBM_normal,6,4.915
LightGBM_normal,6,5.5481
LightGBM_normal,6,5.1081
LSTM,10,3.8987
LSTM,10,3.1534
LSTM,10,8.1751
LSTM,10,8.0625
LSTM,10,6.794
LSTM,10,8.396
LSTM,10,9.1864
LSTM,10,3.6268
LSTM,10,5.2147
LSTM,10,8.1136
LSTM,2,2.6418
LSTM,2,1.9115
LSTM,2,2.7508
LSTM,2,3.4111
LSTM,2,2.9744
LSTM,2,3.7837
LSTM,2,7.0001
LSTM,2,7.0086
LSTM,2,4.2325
LSTM,2,4.9268
LSTM,6,4.017
LSTM,6,1.0869
LSTM,6,2.7868
LSTM,6,4.2999
LSTM,6,4.7364
LSTM,6,4.8139
LSTM,6,7.3302
LSTM,6,5.3303
LSTM,6,6.1137
LSTM,6,5.4156
SARIMAX,10,2.7585
SARIMAX,10,1.841
SARIMAX,10,2.9172
SARIMAX,10,3.4442
SARIMAX,10,5.1149
SARIMAX,10,3.0061
SARIMAX,10,5.094
SARIMAX,10,3.8705
SARIMAX,10,4.645
SARIMAX,10,3.6475
SARIMAX,2,2.5945
SARIMAX,2,2.5066
SARIMAX,2,3.3929
SARIMAX,2,3.671
SARIMAX,2,3.484
SARIMAX,2,3.8575
SARIMAX,2,4.2902
SARIMAX,2,6.4033
SARIMAX,2,3.3709
SARIMAX,2,4.1011
SARIMAX,6,3.0002
SARIMAX,6,2.3427
SARIMAX,6,2.8321
SARIMAX,6,4.0061
SARIMAX,6,5.7078
SARIMAX,6,4.2409
SARIMAX,6,4.1639
SARIMAX,6,4.8749
SARIMAX,6,4.0827
SARIMAX,6,3.8229
