method,month,abs(var)
RandomForest_lag,10,9.2289
RandomForest_lag,10,1.6086
RandomForest_lag,10,7.09
RandomForest_lag,10,12.109
RandomForest_lag,10,16.478
RandomForest_lag,10,6.7765
RandomForest_lag,10,29.943
RandomForest_lag,10,3.9268
RandomForest_lag,10,19.508
RandomForest_lag,10,12.276
RandomForest_lag,2,2.6749
RandomForest_lag,2,3.3922
RandomForest_lag,2,6.0871
RandomForest_lag,2,14.06
RandomForest_lag,2,7.0621
RandomForest_lag,2,8.7972
RandomForest_lag,2,19.4
RandomForest_lag,2,32.829
RandomForest_lag,2,7.8061
RandomForest_lag,2,12.066
RandomForest_lag,6,7.6256
RandomForest_lag,6,0.064285
RandomForest_lag,6,10.228
RandomForest_lag,6,10.841
RandomForest_lag,6,24.131
RandomForest_lag,6,12.931
RandomForest_lag,6,21.097
RandomForest_lag,6,10.574
RandomForest_lag,6,17.185
RandomForest_lag,6,18.963
RandomForest_normal,10,4.6222
RandomForest_normal,10,0.81833
RandomForest_normal,10,4.7626
RandomForest_normal,10,8.1452
RandomForest_normal,10,10.043
RandomForest_normal,10,6.6316
RandomForest_normal,10,27.766
RandomForest_normal,10,0.82194
RandomForest_normal,10,16.007
RandomForest_normal,10,7.7127
RandomForest_normal,2,3.6498
RandomForest_normal,2,2.554
RandomForest_normal,2,1.9815
RandomForest_normal,2,10.739
RandomForest_normal,2,4.0533
RandomForest_normal,2,4.8592
RandomForest_normal,2,13.64
RandomForest_normal,2,24.813
RandomForest_normal,2,5.648
RandomForest_normal,2,8.1336
RandomForest_normal,6,3.9546
RandomForest_normal,6,0.48866
RandomForest_normal,6,5.3041
RandomForest_normal,6,7.7875
RandomForest_normal,6,22.985
RandomForest_normal,6,9.2631
RandomForest_normal,6,12.367
RandomForest_normal,6,6.0134
RandomForest_normal,6,1.3777
RandomForest_normal,6,9.3858
XGBoost_lag,10,3.336
XGBoost_lag,10,0.28424
XGBoost_lag,10,5.8627
XGBoost_lag,10,4.9663
XGBoost_lag,10,15.081
XGBoost_lag,10,7.1321
XGBoost_lag,10,28.334
XGBoost_lag,10,2.7986
XGBoost_lag,10,20.788
XGBoost_lag,10,12.146
XGBoost_lag,2,1.1932
XGBoost_lag,2,2.4563
XGBoost_lag,2,1.5625
XGBoost_lag,2,13.801
XGBoost_lag,2,5.4395
XGBoost_lag,2,6.6869
XGBoost_lag,2,14.386
XGBoost_lag,2,12.474
XGBoost_lag,2,7.9833
XGBoost_lag,2,4.9696
XGBoost_lag,6,3.1977
XGBoost_lag,6,0.32848
XGBoost_lag,6,8.6968
XGBoost_lag,6,6.0169
XGBoost_lag,6,19.023
XGBoost_lag,6,14.202
XGBoost_lag,6,17.292
XGBoost_lag,6,10.303
XGBoost_lag,6,11.578
XGBoost_lag,6,7.824
XGBoost_normal,10,1.9335
XGBoost_normal,10,0.35733
XGBoost_normal,10,3.485
XGBoost_normal,10,6.6186
XGBoost_normal,10,8.3693
XGBoost_normal,10,6.4871
XGBoost_normal,10,27.196
XGBoost_normal,10,3.5532
XGBoost_normal,10,16.21
XGBoost_normal,10,7.817
XGBoost_normal,2,3.5667
XGBoost_normal,2,2.6894
XGBoost_normal,2,2.6588
XGBoost_normal,2,10.359
XGBoost_normal,2,2.1449
XGBoost_normal,2,1.5629
XGBoost_normal,2,9.9743
XGBoost_normal,2,20.842
XGBoost_normal,2,1.522
XGBoost_normal,2,6.9911
XGBoost_normal,6,0.81544
XGBoost_normal,6,0.56491
XGBoost_normal,6,5.118
XGBoost_normal,6,6.6408
XGBoost_normal,6,21.196
XGBoost_normal,6,10.093
XGBoost_normal,6,9.6339
XGBoost_normal,6,2.703
XGBoost_normal,6,0.68383
XGBoost_normal,6,8.8582
LightGBM_lag,10,8.3028
LightGBM_lag,10,0.79208
LightGBM_lag,10,4.6493
LightGBM_lag,10,1.5018
LightGBM_lag,10,11.355
LightGBM_lag,10,6.0425
LightGBM_lag,10,24.592
LightGBM_lag,10,4.1552
LightGBM_lag,10,14.686
LightGBM_lag,10,9.4896
LightGBM_lag,2,3.2853
LightGBM_lag,2,3.0103
LightGBM_lag,2,1.0884
LightGBM_lag,2,13.096
LightGBM_lag,2,4.6811
LightGBM_lag,2,1.1067
LightGBM_lag,2,16.634
LightGBM_lag,2,20.411
LightGBM_lag,2,2.3498
LightGBM_lag,2,5.5824
LightGBM_lag,6,0.24879
LightGBM_lag,6,0.24162
LightGBM_lag,6,9.2748
LightGBM_lag,6,6.7984
LightGBM_lag,6,17.26
LightGBM_lag,6,13.745
LightGBM_lag,6,5.8441
LightGBM_lag,6,2.1492
LightGBM_lag,6,9.4507
LightGBM_lag,6,11.549
LightGBM_normal,10,2.3076
LightGBM_normal,10,0.93508
LightGBM_normal,10,4.5146
LightGBM_normal,10,5.2356
LightGBM_normal,10,11.321
LightGBM_normal,10,6.3969
LightGBM_normal,10,27.651
LightGBM_normal,10,0.54037
LightGBM_normal,10,14.463
LightGBM_normal,10,7.2203
LightGBM_normal,2,3.2947
LightGBM_normal,2,2.7371
LightGBM_normal,2,2.6436
LightGBM_normal,2,11.226
