,date,hour,station_id,bikes_available,day,weekday_土曜日,weekday_日曜日,weekday_月曜日,weekday_木曜日,weekday_水曜日,weekday_火曜日,weekday_金曜日,lag_1hour,lag_2hour,lag_3hour,lag_4hour,lag_5hour,lag_6hour,lag_7hour,lag_8hour,lag_9hour,lag_10hour,lag_11hour,lag_12hour,lag_13hour,lag_14hour,lag_15hour,lag_16hour,lag_17hour,lag_18hour,lag_19hour,lag_20hour,lag_21hour,lag_22hour,lag_23hour,lag_24hour,predict_24
636552,2014-05-02 00:00:00,0,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.03
636553,2014-05-02 01:00:00,1,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.02
636554,2014-05-02 02:00:00,2,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.02
636555,2014-05-02 03:00:00,3,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,4.013333333333333
636556,2014-05-02 04:00:00,4,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,4.014166666666667
636557,2014-05-02 05:00:00,5,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,9.0,4.030833333333334
636558,2014-05-02 06:00:00,6,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,9.0,4.21
636559,2014-05-02 07:00:00,7,36,4.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,9.0,4.37
636560,2014-05-02 08:00:00,8,36,6.0,2,0,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,9.0,5.26
636561,2014-05-02 09:00:00,9,36,9.0,2,0,0,0,0,0,0,1,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,10.0,8.23
636562,2014-05-02 10:00:00,10,36,8.0,2,0,0,0,0,0,0,1,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,11.0,8.19
636563,2014-05-02 11:00:00,11,36,8.0,2,0,0,0,0,0,0,1,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,6.0,8.063869047619049
636564,2014-05-02 12:00:00,12,36,8.0,2,0,0,0,0,0,0,1,8.0,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,7.8667637844611535
636565,2014-05-02 13:00:00,13,36,8.0,2,0,0,0,0,0,0,1,8.0,8.0,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,3.0,8.537692577030812
636566,2014-05-02 14:00:00,14,36,10.0,2,0,0,0,0,0,0,1,8.0,8.0,8.0,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,5.0,9.468823529411765
636567,2014-05-02 15:00:00,15,36,8.0,2,0,0,0,0,0,0,1,10.0,8.0,8.0,8.0,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,5.0,8.35
636568,2014-05-02 16:00:00,16,36,8.0,2,0,0,0,0,0,0,1,8.0,10.0,8.0,8.0,8.0,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,7.547914438502674
636569,2014-05-02 17:00:00,17,36,5.0,2,0,0,0,0,0,0,1,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,5.66
