,date,hour,station_id,bikes_available,day,weekday_土曜日,weekday_日曜日,weekday_月曜日,weekday_木曜日,weekday_水曜日,weekday_火曜日,weekday_金曜日,predict_24
665784,2013-09-02 00:00:00,0,38,11.0,2,0,0,1,0,0,0,0,10.96
665785,2013-09-02 01:00:00,1,38,11.0,2,0,0,1,0,0,0,0,10.96
665786,2013-09-02 02:00:00,2,38,11.0,2,0,0,1,0,0,0,0,10.96
665787,2013-09-02 03:00:00,3,38,11.0,2,0,0,1,0,0,0,0,10.96
665788,2013-09-02 04:00:00,4,38,11.0,2,0,0,1,0,0,0,0,10.96
665789,2013-09-02 05:00:00,5,38,11.0,2,0,0,1,0,0,0,0,10.96
665790,2013-09-02 06:00:00,6,38,11.0,2,0,0,1,0,0,0,0,10.96
665791,2013-09-02 07:00:00,7,38,11.0,2,0,0,1,0,0,0,0,10.9
665792,2013-09-02 08:00:00,8,38,11.0,2,0,0,1,0,0,0,0,11.06
665793,2013-09-02 09:00:00,9,38,11.0,2,0,0,1,0,0,0,0,10.953333333333335
665794,2013-09-02 10:00:00,10,38,10.0,2,0,0,1,0,0,0,0,10.273333333333335
665795,2013-09-02 11:00:00,11,38,12.0,2,0,0,1,0,0,0,0,11.363333333333335
665796,2013-09-02 12:00:00,12,38,9.0,2,0,0,1,0,0,0,0,9.836
665797,2013-09-02 13:00:00,13,38,7.0,2,0,0,1,0,0,0,0,8.156
665798,2013-09-02 14:00:00,14,38,11.0,2,0,0,1,0,0,0,0,10.42
665799,2013-09-02 15:00:00,15,38,12.0,2,0,0,1,0,0,0,0,11.63
665800,2013-09-02 16:00:00,16,38,13.0,2,0,0,1,0,0,0,0,12.5
665801,2013-09-02 17:00:00,17,38,12.0,2,0,0,1,0,0,0,0,11.79
665802,2013-09-02 18:00:00,18,38,10.0,2,0,0,1,0,0,0,0,10.18
665803,2013-09-02 19:00:00,19,38,10.0,2,0,0,1,0,0,0,0,9.89
665804,2013-09-02 20:00:00,20,38,10.0,2,0,0,1,0,0,0,0,9.91
665805,2013-09-02 21:00:00,21,38,10.0,2,0,0,1,0,0,0,0,9.85
665806,2013-09-02 22:00:00,22,38,9.0,2,0,0,1,0,0,0,0,9.4
665807,2013-09-02 23:00:00,23,38,11.0,2,0,0,1,0,0,0,0,10.48
665808,2013-09-03 00:00:00,0,38,11.0,3,0,0,0,0,0,1,0,11.0
665809,2013-09-03 01:00:00,1,38,11.0,3,0,0,0,0,0,1,0,11.0
665810,2013-09-03 02:00:00,2,38,11.0,3,0,0,0,0,0,1,0,11.0
665811,2013-09-03 03:00:00,3,38,11.0,3,0,0,0,0,0,1,0,11.0
665812,2013-09-03 04:00:00,4,38,11.0,3,0,0,0,0,0,1,0,11.0
665813,2013-09-03 05:00:00,5,38,11.0,3,0,0,0,0,0,1,0,11.0
665814,2013-09-03 06:00:00,6,38,11.0,3,0,0,0,0,0,1,0,10.98
665815,2013-09-03 07:00:00,7,38,11.0,3,0,0,0,0,0,1,0,11.03
665816,2013-09-03 08:00:00,8,38,12.0,3,0,0,0,0,0,1,0,11.7
665817,2013-09-03 09:00:00,9,38,11.0,3,0,0,0,0,0,1,0,11.2425
665818,2013-09-03 10:00:00,10,38,10.0,3,0,0,0,0,0,1,0,10.2925
665819,2013-09-03 11:00:00,11,38,11.0,3,0,0,0,0,0,1,0,10.9625
665820,2013-09-03 12:00:00,12,38,11.0,3,0,0,0,0,0,1,0,10.94
665821,2013-09-03 13:00:00,13,38,12.0,3,0,0,0,0,0,1,0,11.15
665822,2013-09-03 14:00:00,14,38,7.0,3,0,0,0,0,0,1,0,8.05
665823,2013-09-03 15:00:00,15,38,8.0,3,0,0,0,0,0,1,0,7.933333333333334
665824,2013-09-03 16:00:00,16,38,8.0,3,0,0,0,0,0,1,0,8.283333333333333
665825,2013-09-03 17:00:00,17,38,7.0,3,0,0,0,0,0,1,0,7.573333333333334
665826,2013-09-03 18:00:00,18,38,7.0,3,0,0,0,0,0,1,0,6.92
665827,2013-09-03 19:00:00,19,38,7.0,3,0,0,0,0,0,1,0,6.88
665828,2013-09-03 20:00:00,20,38,7.0,3,0,0,0,0,0,1,0,6.98
665829,2013-09-03 21:00:00,21,38,6.0,3,0,0,0,0,0,1,0,6.215
665830,2013-09-03 22:00:00,22,38,6.0,3,0,0,0,0,0,1,0,6.47
665831,2013-09-03 23:00:00,23,38,6.0,3,0,0,0,0,0,1,0,6.75
665832,2013-09-04 00:00:00,0,38,6.0,4,0,0,0,0,1,0,0,6.02
665833,2013-09-04 01:00:00,1,38,6.0,4,0,0,0,0,1,0,0,6.01
665834,2013-09-04 02:00:00,2,38,6.0,4,0,0,0,0,1,0,0,6.02
665835,2013-09-04 03:00:00,3,38,6.0,4,0,0,0,0,1,0,0,6.02
665836,2013-09-04 04:00:00,4,38,6.0,4,0,0,0,0,1,0,0,6.0120000000000005
665837,2013-09-04 05:00:00,5,38,6.0,4,0,0,0,0,1,0,0,6.018666666666666
665838,2013-09-04 06:00:00,6,38,6.0,4,0,0,0,0,1,0,0,6.018666666666666
665839,2013-09-04 07:00:00,7,38,6.0,4,0,0,0,0,1,0,0,6.132000000000001
665840,2013-09-04 08:00:00,8,38,7.0,4,0,0,0,0,1,0,0,6.822
665841,2013-09-04 09:00:00,9,38,7.0,4,0,0,0,0,1,0,0,7.155
665842,2013-09-04 10:00:00,10,38,8.0,4,0,0,0,0,1,0,0,7.775
665843,2013-09-04 11:00:00,11,38,8.0,4,0,0,0,0,1,0,0,8.01
665844,2013-09-04 12:00:00,12,38,8.0,4,0,0,0,0,1,0,0,8.02
665845,2013-09-04 13:00:00,13,38,8.0,4,0,0,0,0,1,0,0,8.09
665846,2013-09-04 14:00:00,14,38,8.0,4,0,0,0,0,1,0,0,8.05
665847,2013-09-04 15:00:00,15,38,8.0,4,0,0,0,0,1,0,0,8.07
665848,2013-09-04 16:00:00,16,38,8.0,4,0,0,0,0,1,0,0,8.06
665849,2013-09-04 17:00:00,17,38,9.0,4,0,0,0,0,1,0,0,8.66
665850,2013-09-04 18:00:00,18,38,9.0,4,0,0,0,0,1,0,0,8.61
665851,2013-09-04 19:00:00,19,38,8.0,4,0,0,0,0,1,0,0,8.148
665852,2013-09-04 20:00:00,20,38,7.0,4,0,0,0,0,1,0,0,7.4079999999999995
665853,2013-09-04 21:00:00,21,38,8.0,4,0,0,0,0,1,0,0,7.9479999999999995
665854,2013-09-04 22:00:00,22,38,11.0,4,0,0,0,0,1,0,0,10.12
665855,2013-09-04 23:00:00,23,38,11.0,4,0,0,0,0,1,0,0,10.61
665856,2013-09-05 00:00:00,0,38,11.0,5,0,0,0,1,0,0,0,11.0
665857,2013-09-05 01:00:00,1,38,11.0,5,0,0,0,1,0,0,0,11.0
665858,2013-09-05 02:00:00,2,38,11.0,5,0,0,0,1,0,0,0,11.0
665859,2013-09-05 03:00:00,3,38,11.0,5,0,0,0,1,0,0,0,11.0
665860,2013-09-05 04:00:00,4,38,11.0,5,0,0,0,1,0,0,0,10.98
665861,2013-09-05 05:00:00,5,38,11.0,5,0,0,0,1,0,0,0,10.87
665862,2013-09-05 06:00:00,6,38,10.0,5,0,0,0,1,0,0,0,10.3
