,date,hour,station_id,bikes_available,day,weekday_土曜日,weekday_日曜日,weekday_月曜日,weekday_木曜日,weekday_水曜日,weekday_火曜日,weekday_金曜日,predict_24
560664,2013-09-02 00:00:00,0,32,8.0,2,0,0,1,0,0,0,0,8.001206
560665,2013-09-02 01:00:00,1,32,8.0,2,0,0,1,0,0,0,0,8.00056
560666,2013-09-02 02:00:00,2,32,8.0,2,0,0,1,0,0,0,0,7.9953938
560667,2013-09-02 03:00:00,3,32,3.0,2,0,0,1,0,0,0,0,3.0014658
560668,2013-09-02 04:00:00,4,32,3.0,2,0,0,1,0,0,0,0,3.0014658
560669,2013-09-02 05:00:00,5,32,8.0,2,0,0,1,0,0,0,0,8.000057
560670,2013-09-02 06:00:00,6,32,8.0,2,0,0,1,0,0,0,0,8.000057
560671,2013-09-02 07:00:00,7,32,7.0,2,0,0,1,0,0,0,0,7.000778
560672,2013-09-02 08:00:00,8,32,7.0,2,0,0,1,0,0,0,0,6.996237
560673,2013-09-02 09:00:00,9,32,7.0,2,0,0,1,0,0,0,0,7.006439
560674,2013-09-02 10:00:00,10,32,7.0,2,0,0,1,0,0,0,0,7.001752
560675,2013-09-02 11:00:00,11,32,8.0,2,0,0,1,0,0,0,0,7.9948277
560676,2013-09-02 12:00:00,12,32,8.0,2,0,0,1,0,0,0,0,8.0053835
560677,2013-09-02 13:00:00,13,32,9.0,2,0,0,1,0,0,0,0,8.99275
560678,2013-09-02 14:00:00,14,32,9.0,2,0,0,1,0,0,0,0,9.004339
560679,2013-09-02 15:00:00,15,32,9.0,2,0,0,1,0,0,0,0,9.000898
560680,2013-09-02 16:00:00,16,32,10.0,2,0,0,1,0,0,0,0,10.002193
560681,2013-09-02 17:00:00,17,32,10.0,2,0,0,1,0,0,0,0,9.992221
560682,2013-09-02 18:00:00,18,32,11.0,2,0,0,1,0,0,0,0,11.000083
560683,2013-09-02 19:00:00,19,32,10.0,2,0,0,1,0,0,0,0,10.002946
560684,2013-09-02 20:00:00,20,32,9.0,2,0,0,1,0,0,0,0,8.996528
560685,2013-09-02 21:00:00,21,32,9.0,2,0,0,1,0,0,0,0,9.005806
560686,2013-09-02 22:00:00,22,32,10.0,2,0,0,1,0,0,0,0,9.993228
560687,2013-09-02 23:00:00,23,32,10.0,2,0,0,1,0,0,0,0,10.002061
560688,2013-09-03 00:00:00,0,32,10.0,3,0,0,0,0,0,1,0,9.999608
